id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
99,LINK,11,35,2,2.000015,M.USER.APP.2,1161.000003,30,5,"[3, 11, 35, 106]",0.0
98,LINK,1,4,1,5.000004,M.USER.APP.1,1163.0000068571428,20,4,"[2, 0, 1, 4, 13, 42]",0.0
99,LINK,35,106,2,7.000004285714286,M.USER.APP.2,1163.0000180000002,30,4,"[3, 11, 35, 106]",0.0
101,LINK,0,3,4,7.000002857142857,M.USER.APP.4,1165.0000057142856,20,3,"[5, 1, 0, 3, 10, 31, 94]",0.0
97,LINK,3,12,0,2.00001,M.USER.APP.0,1165.0000057142856,20,4,"[1, 0, 3, 12, 37, 113]",0.0
97,LINK,12,37,0,3.0000066666666667,M.USER.APP.0,1167.0000157142856,20,4,"[1, 0, 3, 12, 37, 113]",0.0
98,LINK,4,13,1,8.0000025,M.USER.APP.1,1168.0000108571428,20,4,"[2, 0, 1, 4, 13, 42]",0.0
97,LINK,37,113,0,8.0000025,M.USER.APP.0,1170.0000223809523,20,3,"[1, 0, 3, 12, 37, 113]",0.0
99,LINK,106,35,2,7.000014285714285,2_(0-5),1171.2000222857143,100,4,"[106, 35]",0.0
100,LINK,0,2,3,5.000004,M.USER.APP.3,1172.0000085714285,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
101,LINK,3,10,4,2.00001,M.USER.APP.4,1172.0000085714285,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
101,LINK,10,31,4,5.000004,M.USER.APP.4,1174.0000185714284,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
98,LINK,13,42,1,8.0000025,M.USER.APP.1,1176.0000133571427,20,4,"[2, 0, 1, 4, 13, 42]",0.0
100,LINK,2,9,3,7.000002857142857,M.USER.APP.3,1177.0000125714284,20,4,"[4, 1, 0, 2, 9, 30, 91]",0.0
99,LINK,35,11,2,2.000045,2_(0-6),1178.5000365714286,90,3,"[35, 11]",0.0
97,LINK,113,37,0,8.00000375,0_(0-3),1178.600024880952,30,4,"[113, 37, 12, 3]",0.0
101,LINK,31,94,4,5.000004,M.USER.APP.4,1179.0000225714284,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
100,LINK,9,30,3,5.000004,M.USER.APP.3,1184.0000154285713,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
101,LINK,94,31,4,5.000006,4_(0-4),1184.9000265714283,30,2,"[94, 31]",0.0
97,LINK,37,12,0,3.00001,0_(0-3),1186.600028630952,30,2,"[113, 37, 12, 3]",0.0
100,LINK,30,91,3,6.000003333333333,M.USER.APP.3,1189.0000194285712,20,2,"[4, 1, 0, 2, 9, 30, 91]",0.0
97,LINK,12,3,0,2.000015,0_(0-3),1189.600038630952,30,2,"[113, 37, 12, 3]",0.0
101,LINK,31,10,4,5.000024,4_(0-6),1190.5000325714282,120,2,"[31, 10]",0.0
100,LINK,91,30,3,6.000038333333333,3_(0-6),1196.5000227619043,230,0,"[91, 30]",0.0
103,LINK,1,0,0,7.000002857142857,M.USER.APP.0,1245,20,0,"[1, 0, 3, 12, 37, 113]",0.0
104,LINK,2,0,1,5.000004,M.USER.APP.1,1245,20,1,"[2, 0, 1, 4, 13, 42]",0.0
105,LINK,3,11,2,10.000003,M.USER.APP.2,1245,30,2,"[3, 11, 35, 106]",0.0
106,LINK,4,1,3,5.000004,M.USER.APP.3,1245,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
107,LINK,5,1,4,4.000005,M.USER.APP.4,1245,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
108,LINK,6,20,5,3.000004,M.USER.APP.5,1245,12,5,"[6, 20, 61]",0.0
108,LINK,20,61,5,2.000006,M.USER.APP.5,1248.000004,12,5,"[6, 20, 61]",0.0
107,LINK,1,0,4,7.000002857142857,M.USER.APP.4,1249.000005,20,5,"[5, 1, 0, 3, 10, 31, 94]",2.9999978571427164
104,LINK,0,1,1,7.000002857142857,M.USER.APP.1,1250.000004,20,4,"[2, 0, 1, 4, 13, 42]",0.0
106,LINK,1,0,3,7.000002857142857,M.USER.APP.3,1250.000004,20,5,"[4, 1, 0, 2, 9, 30, 91]",9.000001714285645
108,LINK,61,20,5,2.0000205,5_(0-6),1251.5000099999997,41,5,"[61, 20, 6]",0.0
103,LINK,0,3,0,7.000002857142857,M.USER.APP.0,1252.0000028571428,20,5,"[1, 0, 3, 12, 37, 113]",0.0
108,LINK,20,6,5,3.000013666666667,5_(0-6),1253.5000304999996,41,5,"[61, 20, 6]",0.0
105,LINK,11,35,2,2.000015,M.USER.APP.2,1255.000003,30,5,"[3, 11, 35, 106]",0.0
104,LINK,1,4,1,5.000004,M.USER.APP.1,1257.0000068571428,20,4,"[2, 0, 1, 4, 13, 42]",0.0
105,LINK,35,106,2,7.000004285714286,M.USER.APP.2,1257.0000180000002,30,4,"[3, 11, 35, 106]",0.0
107,LINK,0,3,4,7.000002857142857,M.USER.APP.4,1259.0000057142856,20,3,"[5, 1, 0, 3, 10, 31, 94]",0.0
103,LINK,3,12,0,2.00001,M.USER.APP.0,1259.0000057142856,20,4,"[1, 0, 3, 12, 37, 113]",0.0
103,LINK,12,37,0,3.0000066666666667,M.USER.APP.0,1261.0000157142856,20,4,"[1, 0, 3, 12, 37, 113]",0.0
109,LINK,1,0,0,7.000002857142857,M.USER.APP.0,1262,20,5,"[1, 0, 3, 12, 37, 113]",4.000008571428452
110,LINK,2,0,1,5.000004,M.USER.APP.1,1262,20,6,"[2, 0, 1, 4, 13, 42]",0.0
111,LINK,3,11,2,10.000003,M.USER.APP.2,1262,30,7,"[3, 11, 35, 106]",0.0
112,LINK,4,1,3,5.000004,M.USER.APP.3,1262,20,8,"[4, 1, 0, 2, 9, 30, 91]",0.0
113,LINK,5,1,4,4.000005,M.USER.APP.4,1262,20,9,"[5, 1, 0, 3, 10, 31, 94]",0.0
114,LINK,6,20,5,3.000004,M.USER.APP.5,1262,12,10,"[6, 20, 61]",0.0
104,LINK,4,13,1,8.0000025,M.USER.APP.1,1262.0000108571428,20,10,"[2, 0, 1, 4, 13, 42]",0.0
103,LINK,37,113,0,8.0000025,M.USER.APP.0,1264.0000223809523,20,9,"[1, 0, 3, 12, 37, 113]",0.0
114,LINK,20,61,5,2.000006,M.USER.APP.5,1265.000004,12,9,"[6, 20, 61]",0.0
105,LINK,106,35,2,7.000014285714285,2_(0-5),1265.2000222857143,100,10,"[106, 35]",0.0
113,LINK,1,0,4,7.000002857142857,M.USER.APP.4,1266.000005,20,10,"[5, 1, 0, 3, 10, 31, 94]",7.000006428571169
106,LINK,0,2,3,5.000004,M.USER.APP.3,1266.0000085714285,20,9,"[4, 1, 0, 2, 9, 30, 91]",0.0
107,LINK,3,10,4,2.00001,M.USER.APP.4,1266.0000085714285,20,10,"[5, 1, 0, 3, 10, 31, 94]",0.0
110,LINK,0,1,1,7.000002857142857,M.USER.APP.1,1267.000004,20,9,"[2, 0, 1, 4, 13, 42]",0.0
112,LINK,1,0,3,7.000002857142857,M.USER.APP.3,1267.000004,20,10,"[4, 1, 0, 2, 9, 30, 91]",13.000010285714097
107,LINK,10,31,4,5.000004,M.USER.APP.4,1268.0000185714284,20,9,"[5, 1, 0, 3, 10, 31, 94]",0.0
114,LINK,61,20,5,2.0000205,5_(0-6),1268.5000099999997,41,10,"[61, 20, 6]",0.0
104,LINK,13,42,1,8.0000025,M.USER.APP.1,1270.0000133571427,20,10,"[2, 0, 1, 4, 13, 42]",0.0
114,LINK,20,6,5,3.000013666666667,5_(0-6),1270.5000304999996,41,10,"[61, 20, 6]",0.0
106,LINK,2,9,3,7.000002857142857,M.USER.APP.3,1271.0000125714284,20,10,"[4, 1, 0, 2, 9, 30, 91]",0.0
111,LINK,11,35,2,2.000015,M.USER.APP.2,1272.000003,30,10,"[3, 11, 35, 106]",0.0
105,LINK,35,11,2,2.000045,2_(0-6),1272.5000365714286,90,9,"[35, 11]",0.0
103,LINK,113,37,0,8.00000375,0_(0-3),1272.600024880952,30,10,"[113, 37, 12, 3]",0.0
109,LINK,0,3,0,7.000002857142857,M.USER.APP.0,1273.0000114285713,20,10,"[1, 0, 3, 12, 37, 113]",0.0
107,LINK,31,94,4,5.000004,M.USER.APP.4,1273.0000225714284,20,10,"[5, 1, 0, 3, 10, 31, 94]",0.0
110,LINK,1,4,1,5.000004,M.USER.APP.1,1274.0000068571428,20,9,"[2, 0, 1, 4, 13, 42]",0.0
111,LINK,35,106,2,7.000004285714286,M.USER.APP.2,1274.0000180000002,30,9,"[3, 11, 35, 106]",0.0
106,LINK,9,30,3,5.000004,M.USER.APP.3,1278.0000154285713,20,8,"[4, 1, 0, 2, 9, 30, 91]",0.0
107,LINK,94,31,4,5.000006,4_(0-4),1278.9000265714283,30,7,"[94, 31]",0.0
110,LINK,4,13,1,8.0000025,M.USER.APP.1,1279.0000108571428,20,7,"[2, 0, 1, 4, 13, 42]",0.0
113,LINK,0,3,4,7.000002857142857,M.USER.APP.4,1280.000014285714,20,6,"[5, 1, 0, 3, 10, 31, 94]",0.0
109,LINK,3,12,0,2.00001,M.USER.APP.0,1280.000014285714,20,7,"[1, 0, 3, 12, 37, 113]",0.0
103,LINK,37,12,0,3.00001,0_(0-3),1280.600028630952,30,7,"[113, 37, 12, 3]",0.0
109,LINK,12,37,0,3.0000066666666667,M.USER.APP.0,1282.000024285714,20,6,"[1, 0, 3, 12, 37, 113]",0.0
111,LINK,106,35,2,7.000014285714285,2_(0-5),1282.2000222857143,100,7,"[106, 35]",0.0
106,LINK,30,91,3,6.000003333333333,M.USER.APP.3,1283.0000194285712,20,7,"[4, 1, 0, 2, 9, 30, 91]",0.0
103,LINK,12,3,0,2.000015,0_(0-3),1283.600038630952,30,7,"[113, 37, 12, 3]",0.0
107,LINK,31,10,4,5.000024,4_(0-6),1284.5000325714282,120,7,"[31, 10]",0.0
109,LINK,37,113,0,8.0000025,M.USER.APP.0,1285.0000309523807,20,7,"[1, 0, 3, 12, 37, 113]",0.0
115,LINK,1,0,0,7.000002857142857,M.USER.APP.0,1287,20,7,"[1, 0, 3, 12, 37, 113]",1.7142856904683867e-05
116,LINK,2,0,1,5.000004,M.USER.APP.1,1287,20,8,"[2, 0, 1, 4, 13, 42]",0.0
117,LINK,3,11,2,10.000003,M.USER.APP.2,1287,30,9,"[3, 11, 35, 106]",0.0
118,LINK,4,1,3,5.000004,M.USER.APP.3,1287,20,10,"[4, 1, 0, 2, 9, 30, 91]",0.0
119,LINK,5,1,4,4.000005,M.USER.APP.4,1287,20,11,"[5, 1, 0, 3, 10, 31, 94]",0.0
120,LINK,6,20,5,3.000004,M.USER.APP.5,1287,12,12,"[6, 20, 61]",0.0
110,LINK,13,42,1,8.0000025,M.USER.APP.1,1287.0000133571427,20,12,"[2, 0, 1, 4, 13, 42]",0.0
